Academic Vocabulary List - Core Academic Words
Source file: acadCore.xlsx
Each entry contains rank, word, part of speech, academic frequency, ratio, dispersion, and range.

Rank 1: study (n). Academic frequency: 137208; ratio: 2.5235099227903999; dispersion: 0.92650893496804898; range: 8.
Rank 1453: homogeneous (j). Academic frequency: 1148; ratio: 2.8428741409860598; dispersion: 0.92106329082529004; range: 8.
Rank 1454: resilience (n). Academic frequency: 1147; ratio: 2.1745113408085102; dispersion: 0.84193497995509003; range: 8.
Rank 1455: centralized (j). Academic frequency: 1145; ratio: 2.2871188070230302; dispersion: 0.91478635488424398; range: 9.
Rank 1456: preoccupation (n). Academic frequency: 1144; ratio: 1.99096306154592; dispersion: 0.91243021128413804; range: 8.
Rank 1457: multinational (j). Academic frequency: 1143; ratio: 1.5769566946215201; dispersion: 0.88261154216870297; range: 8.
Rank 1458: internally (r). Academic frequency: 1140; ratio: 1.96544132166741; dispersion: 0.93832814683090204; range: 9.
Rank 1459: rationality (n). Academic frequency: 1139; ratio: 2.74676979023798; dispersion: 0.88388738366591801; range: 7.
Rank 1460: uniquely (r). Academic frequency: 1139; ratio: 1.8663124639333399; dispersion: 0.93731961173710299; range: 8.
Rank 1461: parallel (v). Academic frequency: 1137; ratio: 2.18153783981567; dispersion: 0.92315641411914695; range: 8.
Rank 1462: assimilate (v). Academic frequency: 1135; ratio: 2.16112201190955; dispersion: 0.91627767918205605; range: 8.
Rank 1463: enlarge (v). Academic frequency: 1129; ratio: 1.52872925236498; dispersion: 0.93245730269514804; range: 9.
Rank 1464: nongovernmental (j). Academic frequency: 1129; ratio: 2.4327962133020602; dispersion: 0.88931503944983004; range: 7.
Rank 1465: perpetrator (n). Academic frequency: 1128; ratio: 1.5416831607083801; dispersion: 0.88038204115738705; range: 8.
Rank 1466: delineate (v). Academic frequency: 1128; ratio: 2.56480016736031; dispersion: 0.94382613802159598; range: 8.
Rank 1467: disseminate (v). Academic frequency: 1127; ratio: 2.3281950848695598; dispersion: 0.93928245611449601; range: 8.
Rank 1468: necessitate (v). Academic frequency: 1126; ratio: 2.4596313661715099; dispersion: 0.94568747170550504; range: 8.
Rank 1469: mediator (n). Academic frequency: 1125; ratio: 1.97458019603607; dispersion: 0.89248836546424704; range: 7.
Rank 1470: trained (j). Academic frequency: 1124; ratio: 1.5525782651719899; dispersion: 0.90886500945676796; range: 8.
Rank 1471: internalize (v). Academic frequency: 1122; ratio: 2.67264130914901; dispersion: 0.90785344453646499; range: 8.
Rank 1472: multiple (n). Academic frequency: 1119; ratio: 2.0975792065343302; dispersion: 0.91824599642837101; range: 9.
Rank 1473: fragmentation (n). Academic frequency: 1118; ratio: 2.6942714170166302; dispersion: 0.90525270887578702; range: 8.
Rank 1474: tailor (v). Academic frequency: 1118; ratio: 1.5382225418173501; dispersion: 0.93153446162016296; range: 9.
Rank 1475: factual (j). Academic frequency: 1115; ratio: 1.93952886352819; dispersion: 0.90911344052559495; range: 8.
Rank 1476: indicative (j). Academic frequency: 1109; ratio: 2.2735726399276501; dispersion: 0.917650690317659; range: 8.
Rank 1477: lessen (v). Academic frequency: 1105; ratio: 1.5281420669322801; dispersion: 0.93363479987764397; range: 8.
Rank 1478: heightened (j). Academic frequency: 1104; ratio: 1.7304181399246099; dispersion: 0.934915050617384; range: 8.
Rank 1479: precursor (n). Academic frequency: 1104; ratio: 2.1705525685522602; dispersion: 0.91503173784657299; range: 8.
Rank 1480: overlap (n). Academic frequency: 1103; ratio: 2.2880642984067601; dispersion: 0.91660523380431902; range: 8.
Rank 1481: augment (v). Academic frequency: 1103; ratio: 2.0295599241779301; dispersion: 0.929538572141691; range: 9.
Rank 1482: estimation (n). Academic frequency: 1101; ratio: 2.3168565853056902; dispersion: 0.89369686535695902; range: 8.
Rank 1483: Dominican (j). Academic frequency: 1101; ratio: 1.55265781633051; dispersion: 0.81936346111116198; range: 8.
Rank 1484: sociological (j). Academic frequency: 1100; ratio: 2.6766836477190399; dispersion: 0.904488319059784; range: 8.
Rank 1485: portrayal (n). Academic frequency: 1096; ratio: 1.59839292525773; dispersion: 0.88883547064637602; range: 7.
Rank 1486: deprivation (n). Academic frequency: 1095; ratio: 1.9662768331604299; dispersion: 0.88332693033294496; range: 8.
Rank 1487: trade-off (n). Academic frequency: 1092; ratio: 1.7596571827059; dispersion: 0.86539879021639898; range: 8.
Rank 1488: sanction (v). Academic frequency: 1092; ratio: 1.68298197976229; dispersion: 0.91215160042489096; range: 8.
Rank 1489: overt (j). Academic frequency: 1091; ratio: 2.0385450742470401; dispersion: 0.93457921731146198; range: 8.
Rank 1490: intuitive (j). Academic frequency: 1090; ratio: 1.93056746598785; dispersion: 0.89424226888639402; range: 9.
Rank 1491: pertinent (j). Academic frequency: 1089; ratio: 2.28337143196228; dispersion: 0.94294128050355897; range: 8.
Rank 1492: reprint (v). Academic frequency: 1088; ratio: 1.9894144660553801; dispersion: 0.90121456057762195; range: 8.
Rank 1493: specified (j). Academic frequency: 1087; ratio: 2.6654251495903898; dispersion: 0.91969868726639503; range: 9.
Rank 1494: prominence (n). Academic frequency: 1087; ratio: 1.7532137787264299; dispersion: 0.92907026670823201; range: 8.
Rank 1495: deterioration (n). Academic frequency: 1085; ratio: 1.9583628535325399; dispersion: 0.91763931615914196; range: 8.
Rank 1496: commercially (r). Academic frequency: 1084; ratio: 1.8292637816733299; dispersion: 0.86390678021788903; range: 8.
Rank 1497: richness (n). Academic frequency: 1084; ratio: 1.94055334712278; dispersion: 0.85127672963392098; range: 8.
Rank 1498: face-to-face (j). Academic frequency: 1082; ratio: 1.58060874810606; dispersion: 0.88857384629370595; range: 9.
Rank 1499: jointly (r). Academic frequency: 1081; ratio: 1.91656586345785; dispersion: 0.92919695996130103; range: 9.
Rank 1500: inclination (n). Academic frequency: 1078; ratio: 1.71344203980315; dispersion: 0.92988192149465798; range: 8.
Rank 1501: bridge (v). Academic frequency: 1078; ratio: 1.57871719518458; dispersion: 0.92768254721465304; range: 9.
Rank 1502: individualism (n). Academic frequency: 1077; ratio: 2.5041243192598701; dispersion: 0.88760157599365896; range: 7.
Rank 1503: noteworthy (j). Academic frequency: 1077; ratio: 2.0652854462241899; dispersion: 0.93880906682822196; range: 8.
Rank 1504: impetus (n). Academic frequency: 1076; ratio: 2.08045810929011; dispersion: 0.94048130021309495; range: 8.
Rank 1505: experimentation (n). Academic frequency: 1075; ratio: 1.9107655061134099; dispersion: 0.91933064823073096; range: 9.
Rank 1506: sequential (j). Academic frequency: 1074; ratio: 2.9611861875294898; dispersion: 0.90275116948428002; range: 7.
Rank 1507: continuation (n). Academic frequency: 1072; ratio: 1.87873037057083; dispersion: 0.92466663246458203; range: 8.
Rank 1508: attributable (j). Academic frequency: 1072; ratio: 2.5277463167680199; dispersion: 0.91921065945149905; range: 8.
Rank 1509: disparate (j). Academic frequency: 1070; ratio: 1.9125574796521601; dispersion: 0.93497667895331704; range: 9.
Rank 1510: safeguard (v). Academic frequency: 1068; ratio: 1.9437094204140499; dispersion: 0.91876001230917703; range: 9.
Rank 1511: suppression (n). Academic frequency: 1068; ratio: 2.2957009974687699; dispersion: 0.91647851381890899; range: 8.
Rank 1512: subset (n). Academic frequency: 1066; ratio: 2.8342397472397001; dispersion: 0.90008669542124797; range: 8.
Rank 1513: markedly (r). Academic frequency: 1066; ratio: 2.28999616387404; dispersion: 0.93450855744704997; range: 8.
Rank 1514: concurrent (j). Academic frequency: 1063; ratio: 2.8654264668758902; dispersion: 0.89165139963465501; range: 8.
Rank 1515: degrade (v). Academic frequency: 1062; ratio: 1.69958290292084; dispersion: 0.86302257560017803; range: 7.
Rank 1516: incompatible (j). Academic frequency: 1062; ratio: 2.3198299386093599; dispersion: 0.93728724916744299; range: 9.
Rank 1517: tenet (n). Academic frequency: 1057; ratio: 1.73195107495833; dispersion: 0.93347778352098199; range: 9.
Rank 1518: unify (v). Academic frequency: 1056; ratio: 1.5808798026100801; dispersion: 0.92127963298173898; range: 7.
Rank 1519: attest (v). Academic frequency: 1056; ratio: 1.7666879399450499; dispersion: 0.924670300929339; range: 9.
Rank 1520: indispensable (j). Academic frequency: 1054; ratio: 1.88877926332807; dispersion: 0.92535878547032602; range: 9.
Rank 1521: intended (j). Academic frequency: 1051; ratio: 1.87095572643626; dispersion: 0.94123895001845104; range: 8.
Rank 1522: simplify (v). Academic frequency: 1050; ratio: 1.6943172004696601; dispersion: 0.89528869357519403; range: 9.
Rank 1523: periphery (n). Academic frequency: 1049; ratio: 2.19162693087004; dispersion: 0.87192939470573605; range: 8.
Rank 1524: analytic (j). Academic frequency: 1049; ratio: 2.86742133968633; dispersion: 0.91508511362782996; range: 8.
Rank 1525: nominal (j). Academic frequency: 1046; ratio: 2.4434035820515501; dispersion: 0.87955048714050399; range: 9.
Rank 1526: divergent (j). Academic frequency: 1045; ratio: 2.6192987692299998; dispersion: 0.93486588148384997; range: 8.
Rank 1527: present-day (j). Academic frequency: 1044; ratio: 2.3862002557006101; dispersion: 0.90430802269633004; range: 7.
Rank 1528: substitution (n). Academic frequency: 1042; ratio: 2.4340597825026; dispersion: 0.89953096861116; range: 8.
Rank 1529: novelty (n). Academic frequency: 1041; ratio: 1.5213497600544299; dispersion: 0.90843851861957403; range: 9.
Rank 1530: coherence (n). Academic frequency: 1039; ratio: 2.6810249427623298; dispersion: 0.90845534929113203; range: 8.
Rank 1531: unpublished (j). Academic frequency: 1039; ratio: 2.4632030110551701; dispersion: 0.93056807739521497; range: 8.
Rank 1532: template (n). Academic frequency: 1032; ratio: 2.0120488447448199; dispersion: 0.83951789057005; range: 9.
Rank 1533: sociologist (n). Academic frequency: 1031; ratio: 1.61599737523756; dispersion: 0.89681623055874704; range: 7.
Rank 1534: containment (n). Academic frequency: 1029; ratio: 1.76971265153182; dispersion: 0.87776764806450502; range: 7.
Rank 1535: encode (v). Academic frequency: 1027; ratio: 2.7855397217326399; dispersion: 0.85911662548898404; range: 7.
Rank 1536: socialize (v). Academic frequency: 1025; ratio: 1.6037214490593801; dispersion: 0.878135629719625; range: 8.
Rank 1537: determining (j). Academic frequency: 1023; ratio: 2.5315374029914901; dispersion: 0.92834995978188894; range: 8.
Rank 1538: interdependence (n). Academic frequency: 1022; ratio: 2.9237122846012902; dispersion: 0.91295124953838303; range: 8.
Rank 1539: universally (r). Academic frequency: 1022; ratio: 1.8184064209105599; dispersion: 0.940418910739795; range: 9.
Rank 1540: directory (n). Academic frequency: 1021; ratio: 1.5777238514876499; dispersion: 0.81905796471951597; range: 9.
Rank 1541: restructure (v). Academic frequency: 1020; ratio: 1.5637568557749699; dispersion: 0.93086143810413202; range: 9.
Rank 1542: coordinate (n). Academic frequency: 1013; ratio: 1.83788058882034; dispersion: 0.83784321367277903; range: 8.
Rank 1543: limiting (j). Academic frequency: 1012; ratio: 1.95779444615595; dispersion: 0.89913984608405595; range: 9.
Rank 1544: extraction (n). Academic frequency: 1008; ratio: 2.2510214234811201; dispersion: 0.87392960467659198; range: 8.
Rank 1545: affinity (n). Academic frequency: 1008; ratio: 1.8915335434182201; dispersion: 0.91626872131641601; range: 9.
Rank 1546: prescribed (j). Academic frequency: 1007; ratio: 2.0393869306751999; dispersion: 0.90500166252575698; range: 8.
Rank 1547: locality (n). Academic frequency: 1006; ratio: 2.4685342776849701; dispersion: 0.87713742272761697; range: 8.
Rank 1548: induction (n). Academic frequency: 1006; ratio: 2.39144495197315; dispersion: 0.875513474219486; range: 7.
Rank 1549: concur (v). Academic frequency: 1006; ratio: 1.8647953489975899; dispersion: 0.89615095936425804; range: 9.
Rank 1550: familial (j). Academic frequency: 1006; ratio: 2.4193670427585499; dispersion: 0.89591069356337405; range: 7.
Rank 1551: eruption (n). Academic frequency: 1006; ratio: 1.6331007947410501; dispersion: 0.80350475080910999; range: 7.
Rank 1552: imperative (j). Academic frequency: 1001; ratio: 2.1089593681417602; dispersion: 0.94103041051409597; range: 8.
Rank 1553: generating (j). Academic frequency: 1000; ratio: 1.99407111672587; dispersion: 0.88288774232012901; range: 9.
Rank 1554: computerized (j). Academic frequency: 1000; ratio: 1.5264118923150101; dispersion: 0.88994791835609199; range: 9.
Rank 1555: latent (j). Academic frequency: 997; ratio: 2.47770341684011; dispersion: 0.87058685223940102; range: 8.
Rank 1556: restricted (j). Academic frequency: 997; ratio: 1.75167291235711; dispersion: 0.92949367645204894; range: 9.
Rank 1557: synthesize (v). Academic frequency: 996; ratio: 2.46821127066295; dispersion: 0.902981972313321; range: 8.
Rank 1558: heighten (v). Academic frequency: 996; ratio: 1.5039165698347301; dispersion: 0.93815918897948003; range: 8.
Rank 1559: customary (j). Academic frequency: 995; ratio: 1.6380258281926501; dispersion: 0.90460823609338303; range: 9.
Rank 1560: insecurity (n). Academic frequency: 994; ratio: 1.5185773768258299; dispersion: 0.916777425347723; range: 8.
Rank 1561: equitable (j). Academic frequency: 992; ratio: 2.0849796938312499; dispersion: 0.90629903372035903; range: 9.
Rank 1562: specialization (n). Academic frequency: 992; ratio: 2.7437410504919901; dispersion: 0.89885376033804898; range: 8.
Rank 1563: vitality (n). Academic frequency: 990; ratio: 1.64526482779351; dispersion: 0.91834655103701202; range: 8.
Rank 1564: centrality (n). Academic frequency: 990; ratio: 3.1062482008610401; dispersion: 0.88211932591030395; range: 8.
Rank 1565: incremental (j). Academic frequency: 987; ratio: 2.19293669131853; dispersion: 0.914338629638074; range: 9.
Rank 1566: on-site (j). Academic frequency: 987; ratio: 1.75613222841362; dispersion: 0.88640469416879897; range: 8.
Rank 1567: termination (n). Academic frequency: 985; ratio: 2.0878117722494398; dispersion: 0.894807385791067; range: 8.
Rank 1568: explanatory (j). Academic frequency: 984; ratio: 2.9323944330851899; dispersion: 0.90847038113588197; range: 8.
Rank 1569: anticipated (j). Academic frequency: 983; ratio: 1.70821929031967; dispersion: 0.93615952502306499; range: 9.
Rank 1570: by-product (n). Academic frequency: 982; ratio: 1.7871934933020599; dispersion: 0.87756324924626095; range: 9.
Rank 1571: emanate (v). Academic frequency: 980; ratio: 1.6731141410781201; dispersion: 0.925672228933759; range: 8.
Rank 1572: breadth (n). Academic frequency: 978; ratio: 1.8805897449694; dispersion: 0.93444804960660599; range: 9.
Rank 1573: propensity (n). Academic frequency: 976; ratio: 2.3391860012507402; dispersion: 0.90038341351098194; range: 8.
Rank 1574: dichotomy (n). Academic frequency: 974; ratio: 2.5376097991558; dispersion: 0.91807065075614303; range: 7.
Rank 1575: unequal (j). Academic frequency: 972; ratio: 2.3028040543325101; dispersion: 0.91616533102359099; range: 8.
Rank 1576: cost-effective (j). Academic frequency: 971; ratio: 2.08719631885972; dispersion: 0.87423531771588603; range: 7.
Rank 1577: multitude (n). Academic frequency: 971; ratio: 1.5821511416577401; dispersion: 0.92482548015369903; range: 8.
Rank 1578: irregular (j). Academic frequency: 969; ratio: 1.56145403850002; dispersion: 0.88004804550066296; range: 8.
Rank 1579: construe (v). Academic frequency: 965; ratio: 2.4101521184997599; dispersion: 0.90545183936263796; range: 7.
Rank 1580: conformity (n). Academic frequency: 962; ratio: 2.59516833859302; dispersion: 0.914696842449918; range: 7.
Rank 1581: accessibility (n). Academic frequency: 962; ratio: 2.1279396737168299; dispersion: 0.86603811637061801; range: 8.
Rank 1582: ascribe (v). Academic frequency: 961; ratio: 2.3747543504677302; dispersion: 0.92256792022100798; range: 8.
Rank 1583: stringent (j). Academic frequency: 961; ratio: 1.8072110175149201; dispersion: 0.89791360787114904; range: 8.
Rank 1584: marginalize (v). Academic frequency: 958; ratio: 2.3214686145120198; dispersion: 0.91059369569847004; range: 7.
Rank 1585: epistemological (j). Academic frequency: 957; ratio: 3.19449052344032; dispersion: 0.87573638140431598; range: 7.
Rank 1586: contest (v). Academic frequency: 955; ratio: 1.5729150429571701; dispersion: 0.90048641325690804; range: 7.
Rank 1587: noticeable (j). Academic frequency: 953; ratio: 1.54778024284091; dispersion: 0.90830233621882805; range: 8.
Rank 1588: reiterate (v). Academic frequency: 951; ratio: 1.62281239074224; dispersion: 0.91930248782246504; range: 8.
Rank 1589: reaffirm (v). Academic frequency: 948; ratio: 1.7666345179138701; dispersion: 0.90946535418450303; range: 7.
Rank 1590: fragmented (j). Academic frequency: 948; ratio: 2.1388571257475202; dispersion: 0.93172779483692703; range: 9.
Rank 1591: inconsistency (n). Academic frequency: 945; ratio: 1.8101758711801099; dispersion: 0.928279730821017; range: 8.
Rank 1592: conflict (v). Academic frequency: 945; ratio: 1.93282797460119; dispersion: 0.91850894539554795; range: 8.
Rank 1593: drawback (n). Academic frequency: 943; ratio: 1.54877969735239; dispersion: 0.89610279969733397; range: 9.
Rank 1594: viability (n). Academic frequency: 943; ratio: 2.2416824947422298; dispersion: 0.91451295350294703; range: 8.
Rank 1595: chosen (j). Academic frequency: 942; ratio: 1.52144682927783; dispersion: 0.938746396199443; range: 9.
Rank 1596: contingent (j). Academic frequency: 936; ratio: 2.5929487283136901; dispersion: 0.91805502420987894; range: 8.
Rank 1597: neural (j). Academic frequency: 936; ratio: 2.1590824720609398; dispersion: 0.87503370871667097; range: 8.
Rank 1598: persuasive (j). Academic frequency: 935; ratio: 1.5931803424367601; dispersion: 0.91377525287607997; range: 9.
Rank 1599: verification (n). Academic frequency: 934; ratio: 2.2555062171217699; dispersion: 0.84720821542928304; range: 8.
Rank 1600: ostensibly (r). Academic frequency: 933; ratio: 1.75927971241012; dispersion: 0.91221984719134697; range: 7.
Rank 1601: detrimental (j). Academic frequency: 932; ratio: 2.2553426655595201; dispersion: 0.92708651072478798; range: 8.
Rank 1602: undesirable (j). Academic frequency: 931; ratio: 2.3503815776378199; dispersion: 0.93175208886023997; range: 8.
Rank 1603: multidimensional (j). Academic frequency: 930; ratio: 2.9550613968263901; dispersion: 0.881629303503355; range: 7.
Rank 1604: heterogeneous (j). Academic frequency: 930; ratio: 3.0634785129846498; dispersion: 0.92119163163804396; range: 8.
Rank 1605: participatory (j). Academic frequency: 926; ratio: 2.8669065462235199; dispersion: 0.90422263546880199; range: 8.
Rank 1606: self-interest (n). Academic frequency: 924; ratio: 1.9984361494853999; dispersion: 0.90207833236202795; range: 9.
Rank 1607: replication (n). Academic frequency: 921; ratio: 2.9079922086329599; dispersion: 0.89941790115653397; range: 7.
Rank 1608: unrealistic (j). Academic frequency: 920; ratio: 1.5737478116721899; dispersion: 0.94108131898473002; range: 9.
Rank 1609: networking (n). Academic frequency: 920; ratio: 1.56838450364799; dispersion: 0.88211533227170602; range: 9.
Rank 1610: high-level (j). Academic frequency: 917; ratio: 1.50255358158637; dispersion: 0.89632549704284403; range: 9.
Rank 1611: precipitate (v). Academic frequency: 916; ratio: 2.0963760882150999; dispersion: 0.935004329864915; range: 8.
Rank 1612: sharing (n). Academic frequency: 916; ratio: 2.2105137249959301; dispersion: 0.92286185636989804; range: 9.
Rank 1613: refrain (v). Academic frequency: 913; ratio: 1.65473636041728; dispersion: 0.922844140880695; range: 8.
Rank 1614: continual (j). Academic frequency: 913; ratio: 1.9844510542061999; dispersion: 0.94348145368879699; range: 9.
Rank 1615: primacy (n). Academic frequency: 912; ratio: 2.8563945075538602; dispersion: 0.89192835895633404; range: 8.
Rank 1616: globally (r). Academic frequency: 912; ratio: 1.9019946750715999; dispersion: 0.89116605006034899; range: 9.
Rank 1617: institutionalize (v). Academic frequency: 911; ratio: 2.3318329463188898; dispersion: 0.89941284208228001; range: 8.
Rank 1618: conducive (j). Academic frequency: 911; ratio: 2.29327639868026; dispersion: 0.92549536101621499; range: 8.
Rank 1619: capitalist (n). Academic frequency: 910; ratio: 1.69762700142955; dispersion: 0.89745633115313705; range: 7.
Rank 1620: dissemination (n). Academic frequency: 910; ratio: 2.8994048058992501; dispersion: 0.93117412137571898; range: 8.
Rank 1621: coexist (v). Academic frequency: 908; ratio: 1.9674769207434; dispersion: 0.929962313626571; range: 8.
Rank 1622: suffice (v). Academic frequency: 908; ratio: 1.74790692903866; dispersion: 0.933023872075606; range: 9.
Rank 1623: feasibility (n). Academic frequency: 907; ratio: 2.5366941813421402; dispersion: 0.88354582645588198; range: 7.
Rank 1624: theorize (v). Academic frequency: 906; ratio: 2.1758844486689899; dispersion: 0.90604404000259198; range: 8.
Rank 1625: identifiable (j). Academic frequency: 903; ratio: 2.14078182770242; dispersion: 0.93630987012505595; range: 8.
Rank 1626: principally (r). Academic frequency: 903; ratio: 2.1221038654473001; dispersion: 0.92980724022077299; range: 8.
Rank 1627: commonplace (j). Academic frequency: 902; ratio: 1.5535824744886899; dispersion: 0.93248010687196603; range: 9.
Rank 1628: amplify (v). Academic frequency: 901; ratio: 1.81840436988734; dispersion: 0.90360790030974902; range: 8.
Rank 1629: outweigh (v). Academic frequency: 900; ratio: 1.5425501678284701; dispersion: 0.930779261693223; range: 9.
Rank 1630: comparatively (r). Academic frequency: 898; ratio: 1.95670616995123; dispersion: 0.92734112483648701; range: 9.
Rank 1631: composite (n). Academic frequency: 895; ratio: 2.28586582674596; dispersion: 0.82556394191200599; range: 7.
Rank 1632: inefficient (j). Academic frequency: 895; ratio: 1.8337753355580499; dispersion: 0.91616931953068503; range: 9.
Rank 1633: imagined (j). Academic frequency: 892; ratio: 1.9304185919813399; dispersion: 0.89525108484828397; range: 7.
Rank 1634: intellect (n). Academic frequency: 891; ratio: 1.5670093887216601; dispersion: 0.891461302432346; range: 8.
Rank 1635: coercive (j). Academic frequency: 890; ratio: 2.6365601557223899; dispersion: 0.88991315038790897; range: 8.
Rank 1636: altered (j). Academic frequency: 890; ratio: 1.93806847267653; dispersion: 0.90074386307840304; range: 8.
Rank 1637: speculative (j). Academic frequency: 884; ratio: 1.8176186557710099; dispersion: 0.93499811895640805; range: 9.
Rank 1638: infuse (v). Academic frequency: 881; ratio: 1.5011677879003; dispersion: 0.92575430355668598; range: 8.
Rank 1639: reference (v). Academic frequency: 877; ratio: 1.9572297314284499; dispersion: 0.91523304210844403; range: 9.
Rank 1640: persuasion (n). Academic frequency: 876; ratio: 1.71842681217382; dispersion: 0.898670600324179; range: 7.
Rank 1641: abandonment (n). Academic frequency: 876; ratio: 1.84449300043913; dispersion: 0.89737834499862501; range: 7.
Rank 1642: objectivity (n). Academic frequency: 874; ratio: 2.0041838126839102; dispersion: 0.90734844897620903; range: 8.
Rank 1643: postulate (v). Academic frequency: 872; ratio: 2.9387733437982599; dispersion: 0.921842322283972; range: 8.
Rank 1644: endow (v). Academic frequency: 872; ratio: 1.88597004583471; dispersion: 0.91824952532580495; range: 8.
Rank 1645: coordinated (j). Academic frequency: 871; ratio: 1.88264439217618; dispersion: 0.91841367184341605; range: 8.
Rank 1646: progressively (r). Academic frequency: 871; ratio: 2.0775775989955201; dispersion: 0.93063490626724799; range: 8.
Rank 1647: motivated (j). Academic frequency: 869; ratio: 1.7732405230556401; dispersion: 0.93309930442852196; range: 9.
Rank 1648: intrusion (n). Academic frequency: 868; ratio: 1.50762854597347; dispersion: 0.91904697386466405; range: 8.
Rank 1649: interplay (n). Academic frequency: 865; ratio: 2.4134457227407098; dispersion: 0.92043802352585702; range: 8.
Rank 1650: aggregate (j). Academic frequency: 865; ratio: 2.7993293734192202; dispersion: 0.87543175164051201; range: 8.
Rank 1651: livelihood (n). Academic frequency: 864; ratio: 1.5790045893312199; dispersion: 0.89344447471162003; range: 8.
Rank 1652: ethos (n). Academic frequency: 861; ratio: 2.2415375661826902; dispersion: 0.90232374079921396; range: 8.
Rank 1653: conspicuous (j). Academic frequency: 859; ratio: 1.71290708926752; dispersion: 0.90570269249933899; range: 9.
Rank 1654: espouse (v). Academic frequency: 858; ratio: 1.84997737676897; dispersion: 0.92400395744636699; range: 8.
Rank 1655: proxy (n). Academic frequency: 856; ratio: 1.55062601247328; dispersion: 0.91764467877655997; range: 9.
Rank 1656: disregard (v). Academic frequency: 855; ratio: 1.61307030885231; dispersion: 0.92688494812093603; range: 8.
Rank 1657: stimulating (j). Academic frequency: 855; ratio: 1.91791062987181; dispersion: 0.93771437039010497; range: 8.
Rank 1658: convert (n). Academic frequency: 853; ratio: 1.7549091160211201; dispersion: 0.87069412521366096; range: 8.
Rank 1659: emergent (j). Academic frequency: 853; ratio: 2.9779215508155001; dispersion: 0.90033961311156196; range: 8.
Rank 1660: connected (j). Academic frequency: 853; ratio: 1.6411292942131599; dispersion: 0.87301507202578599; range: 9.
Rank 1661: partition (n). Academic frequency: 853; ratio: 1.69418906152464; dispersion: 0.85213156481143304; range: 7.
Rank 1662: sociopolitical (j). Academic frequency: 852; ratio: 3.1603323374861998; dispersion: 0.87621973393851205; range: 7.
Rank 1663: observable (j). Academic frequency: 848; ratio: 3.0486112639251499; dispersion: 0.88317129888499801; range: 8.
Rank 1664: transient (j). Academic frequency: 846; ratio: 2.07156936594486; dispersion: 0.87609673665161103; range: 8.
Rank 1665: two-way (j). Academic frequency: 846; ratio: 1.7044558074229901; dispersion: 0.911354689906825; range: 9.
Rank 1666: measurable (j). Academic frequency: 845; ratio: 2.28835468245954; dispersion: 0.91582140508844101; range: 8.
Rank 1667: insignificant (j). Academic frequency: 844; ratio: 1.5360400288665299; dispersion: 0.93221000695775902; range: 8.
Rank 1668: interruption (n). Academic frequency: 844; ratio: 1.51789471779107; dispersion: 0.88234460477016297; range: 9.
Rank 1669: inception (n). Academic frequency: 843; ratio: 1.8825506547565301; dispersion: 0.94111325748767105; range: 9.
Rank 1670: legitimize (v). Academic frequency: 842; ratio: 2.3033889357634898; dispersion: 0.90659502920030399; range: 7.
Rank 1671: predominant (j). Academic frequency: 842; ratio: 2.3511466010983; dispersion: 0.93226483565247098; range: 8.
Rank 1672: binding (j). Academic frequency: 842; ratio: 1.5308088461979601; dispersion: 0.91023946653417198; range: 8.
Rank 1673: admittedly (r). Academic frequency: 841; ratio: 1.5117229203779801; dispersion: 0.93470084852617297; range: 9.
Rank 1674: pertain (v). Academic frequency: 841; ratio: 2.49140122580059; dispersion: 0.92724424321397403; range: 8.
Rank 1675: paramount (j). Academic frequency: 839; ratio: 1.61419399512877; dispersion: 0.94242290045064003; range: 9.
Rank 1676: confound (v). Academic frequency: 838; ratio: 1.9549177096957899; dispersion: 0.93105163089949305; range: 8.
Rank 1677: uniqueness (n). Academic frequency: 838; ratio: 2.4012532587998301; dispersion: 0.91365574786345705; range: 8.
Rank 1678: collective (n). Academic frequency: 837; ratio: 1.8363595823135399; dispersion: 0.86326355021019296; range: 8.
Rank 1679: bipolar (j). Academic frequency: 837; ratio: 1.9776180117222799; dispersion: 0.88453139624531996; range: 7.
Rank 1680: favorably (r). Academic frequency: 837; ratio: 1.90437290017701; dispersion: 0.93438243041572799; range: 9.
Rank 1681: following (r). Academic frequency: 835; ratio: 1.78936763501253; dispersion: 0.935234594114147; range: 9.
Rank 1682: measured (j). Academic frequency: 833; ratio: 1.97750748328714; dispersion: 0.88349920171118601; range: 8.
Rank 1683: hamper (v). Academic frequency: 833; ratio: 1.5183880988279701; dispersion: 0.91768732193443703; range: 9.
Rank 1684: founding (n). Academic frequency: 832; ratio: 2.0273639171660101; dispersion: 0.91260363017812696; range: 8.
Rank 1685: learned (j). Academic frequency: 832; ratio: 2.05019137858379; dispersion: 0.88217847023722695; range: 8.
Rank 1686: real-world (j). Academic frequency: 831; ratio: 2.1538270615000701; dispersion: 0.88065764794691204; range: 9.
Rank 1687: undertaking (n). Academic frequency: 831; ratio: 1.6430380350573599; dispersion: 0.92185549178119797; range: 8.
Rank 1688: underline (v). Academic frequency: 830; ratio: 1.7237952379629999; dispersion: 0.91772424400848296; range: 8.
Rank 1689: one-way (j). Academic frequency: 829; ratio: 1.62896587111372; dispersion: 0.90233041115748702; range: 9.
Rank 1690: pioneering (j). Academic frequency: 827; ratio: 1.72987694418322; dispersion: 0.88939545855826796; range: 9.
